LSID,Sample Type,Project,Destination,UKB Dispatch Date,Child Sample Type,Extraction Method,Child LSID,Child Volume,Child Concentration,RIN,Average Fragment Size,OD Ratio,QC Status,Returned to UKB,Child Sample Destroyed
1028155309,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 17,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156680,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 17,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155123,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 18,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155139,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 18,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156537,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 18,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156672,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 18,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155091,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 19,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155135,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 19,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155280,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 19,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156728,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 19,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155062,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 20,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155251,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 20,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156545,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 20,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156688,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 20,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155016,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 21,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155114,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 21,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156356,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 21,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156389,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 21,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028154913,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 22,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028154978,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 22,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156583,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 22,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156675,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 22,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155029,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 23,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155290,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 23,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155315,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 23,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156717,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 23,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028154947,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 24,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028154999,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 24,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156609,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 24,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156777,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 24,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028154941,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 25,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156589,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 25,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156647,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 25,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156651,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 25,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028338913,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 26,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339075,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 26,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339116,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 26,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341733,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 26,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339056,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 27,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339203,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 27,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339305,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 27,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341744,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 27,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339040,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 28,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339364,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 28,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339374,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 28,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341643,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 28,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156412,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 29,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339158,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 29,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341484,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 29,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341680,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 29,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339128,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 30,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339307,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 30,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341301,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 30,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341498,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 30,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028338978,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 31,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028339367,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 31,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341399,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 31,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341594,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 31,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341626,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 32,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341652,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 32,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341668,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 32,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341758,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 32,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028338902,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 33,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341368,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 33,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028341735,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 33,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
